Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
Technology,Online Music Streaming,Gurugram,Private Equity,"11,50,00,000",1150
IT,SaaS,Bengaluru,Seed / Angel Funding,"14,00,000",14
Finance,Online Lending,Pune,Private,"1,57,00,000",157
Finance,Online Lending,Ahmedabad,Debt Funding,"47,00,000",47
Entertainment,Digital Entertainment for Children,Mumbai,Seed/Angel Funding,"25,00,000",25
Technology,Personal Assistant,Bengaluru,Private Equity,"19,30,000",19.3
E-commerce,Retail,Delhi,Private Equity,"1,88,40,000",188.4
Finance,Agricultural Loan,Chennai,Private Equity,"2,35,00,000",235
Technology,Medical Devices,Surat,Private Equity,"3,62,30,000",362.3
Technology,Algorithmic Trading,Gurgaon,Angel / Seed Funding,"80,000",0.8
Technology,Payment Gateway,Bengaluru,Private Equity,"2,00,00,000",200
Technology,Algorithmic Trading,Bengaluru,Angel / Seed Funding,"3,54,600",3.546
Finance,Venture Capital,Bengaluru,Private Equity,"2,50,00,000",250
Technology,IT,New Delhi,Private Equity,"2,00,00,000",200
Technology,Education,Pune,Private Equity,"10,00,000",10
Technology,Social,Bengaluru,Private Equity,"1,82,00,000",182
Technology,IT,Chennai,Angel / Seed Funding,"4,00,000",4
Consumer Internet,Food & Beverages,Bangalore,Private Equity,"25,00,000",25
Finance,Alternative Lending,Chennai,Private Equity,"40,00,000",40
Technology,Education,Bengaluru,Private Equity,"32,00,000",32
E-commerce,Online Grocery,Gurugram,Private Equity,"30,00,000",30
Finance,Digital Lending,Mumbai,Private Equity,"4,70,00,000",470
Education,Coaching Services,Mumbai,Structured Debt,"86,00,000",86
Finance,Online Lending,Gurugram,Term Loan,"62,40,000",62.4
Technology,Education,Mumbai,Private Equity,"10,00,000",10
Health and wellness,Hemostatic Dressing Solutions,Bengaluru,Private Equity,"74,00,000",74
Health and wellness,Technology,Hyderabad,Private Equity,"15,00,000",15
Consumer internet,Online Services,Mumbai,Private Equity,"10,00,000",10
Health and wellness,Hygiene,Gurugram,Private Equity,"10,00,000",10
Technology,Browser Testing,Mumbai,Private Equity,"5,00,00,000",500
Technology,Virtual Reality,Bengaluru,Angel / Seed Funding,"5,00,000",5
Technology,Mobile Payment Platform,Mumbai,Private Equity,"76,00,000",76
Health and wellness,Fitness,Bengaluru,Debt Funding,"1,00,00,000",100
Technology,Education Solutions,Bengaluru,Private Equity,"44,00,000",44
Technology,Daily Task Management Mobile App,Bangalore,Private Equity,"1,23,00,000",123
Real Estate,Residential Project,Mumbai,Private Equity,"2,30,00,000",230
Technology,Mobile Learning Management Platform,Goa,Private Equity,"10,00,000",10
Technology,Bicycle sharing Platform,Gurgaon,Seed/Angel Funding,"5,00,000",5
Technology,Off-grid solar products platform,Mumbai,Private Equity,"6,00,00,000",600
Technology,Child Learning & Development Platform,Chennai,Private Equity,"70,00,000",70
Technology,Mobile point of sale services provider,Mumbai,Private Equity,"1,00,00,000",100
E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Private Equity,"31,00,000",31
Health and wellness,Super speciality Hospitals,Gurgaon,Seed/Angel Funding,"7,50,000",7.5
E-Commerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,Debt Funding,"23,00,000",23
Technology,Mobile News Curation App,Noida,Private Equity,"50,00,000",50
E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,Private Equity,"15,00,000",15
Technology,Educational Platform to Learn Mathematics,Mumbai,Seed/Angel Funding,"50,000",0.5
Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Seed/Angel Funding,"50,000",0.5
Technology,Furniture Rental Platform,Bengaluru,Debt Funding,"12,00,000",12
Technology,Hotel Aggregator Platform,Delhi,Private Equity,"18,00,000",18
Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Private Equity,"1,75,00,000",175
E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Seed/Angel Funding,"2,33,000",2.33
Technology,Gamification Platform to train Sales People,Pune,Private Equity,"2,70,00,000",270
Technology,Mobile Games Development Firm,Mumbai,Private Equity,"2,70,00,000",270
Technology,Mobile Application for Doctor Consultation,Bengaluru,Private Equity,"72,00,000",72
E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,Private Equity,"70,00,000",70
Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Private Equity,"60,00,000",60
Technology,Mobile App for Network of Doctors,Gurgaon,Seed/Angel Funding,"2,50,000",2.5
E-Commerce,Online Furniture Marketplace,Bengaluru,Private Equity,"1,00,00,000",100
E-Commerce,Beauty Products Online Marketplace,Mumbai,Seed/Angel Funding,"5,37,000",5.37
E-Commerce,Online Micro-Lending Platform,Delhi,Debt Funding,"27,00,000",27
Technology,Online Courses and Mentoring from Experts,Bengaluru,Private Equity,"95,00,000",95
Technology,Online Poker Platform,Delhi,Private Equity,"15,00,000",15
Technology,Vernacular and Video Content Platform,Bengaluru,Private Equity,"10,00,000",10
Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,Private Equity,"1,95,00,000",195
Technology,Regional Operating System for Smartphones,Mumbai,Private Equity,"40,00,000",40
E-Commerce,E-Commerce enabler platform,Bengaluru,Seed/Angel Funding,"1,50,000",1.5
E-Commerce,Online Spects Platform for Men and Women,Chennai,Private Equity,"1,00,00,000",100
Technology,Realty Technology Startup solving real life Interior Designing problems,Hyderabad,Private Equity,"38,00,000",38
Finance,Business & SME Loans provider,New Delhi,Seed Funding,"5,70,000",5.7
Technology,Online Tutorial Marketplace,Bangalore,Seed Funding,"10,00,000",10
Technology,VR based Spiritual platform,Bangalore,Seed Funding,"5,00,000",5
Technology,Real time data analytics & reporting,Bangalore,Private Equity,"10,00,000",10
Technology,Doctor Patient Communication platform,Mumbai,Private Equity,"50,00,000",50
Technology,Wearable Technology and Internet of Things platform,Bangalore,Private Equity,"50,00,000",50
Technology,Distance Education Learning Platform,Bangalore,Private Equity,"76,00,000",76
Finance,Mutual Fund Investment App,Bangalore,Private Equity,"30,00,000",30
E-Commerce,Online platform for Agricultural products,Mumbai,Private Equity,"30,00,000",30
Technology,IoT based Technology Startup,Bangalore,Private Equity,"36,00,000",36
Technology,Enrolment Management Platform,Delhi,Seed Funding,"8,72,000",8.72
Technology,Big Data based analytics platform,Bangalore,Private Equity,"2,50,00,000",250
E-Commerce,Celebrity fashion accessories and merchandise,Mumbai,PrivateEquity,"1,50,00,000",150
Technology,AI based Finance platform,Bangalore,Private Equity,"82,50,000",82.5
Technology,Banking Software License Platform,Bangalore,Seed Funding,"9,00,000",9
Technology,WiFi Analytics Platform,Delhi,Private Equity,"30,00,000",30
Inspiration,Storytelling platform,Hyderabad,Seed/Angel Funding,"2,00,000",2
Technology,Self riding bike rental program,Mumbai,Seed/Angel Funding,"6,92,000",6.92
Technology,Bike and Taxi pooling online platform,Hyderabad,Seed/Angel Funding,"3,29,230",3.2923
Technology,Big Data Analytics Platform,Mumbai,Private Equity,"27,00,000",27
Technology,Managed Cloud Environment Solutions,Mumbai,Seed/Angel Funding,"4,00,000",4
Technology,AI based pharmacy drugs insights platform,Mumbai,Seed/Angel Funding,"2,50,000",2.5
Health and wellness,Health and wellness facilities at doorstep,Bangalore,Private Equity,"2,60,00,000",260
Finance,Technology based investor firm,Mumbai,Private Equity,"20,00,00,000",2000
Finance,Venture Capitalist,Bangalore,Private Equity,"1,00,00,000",100
Technology,IoT and SaaS based Transport platform,Goa,Seed/Angel Funding,"2,50,000",2.5
Finance,Diversified Financial,Mumbai,Private Equity,"27,00,00,000",2700
Technology,Identity management platform,Mumbai,Seed/Angel Funding,"39,000",0.39
Technology,Virtual Reality based gaming platform,Mumbai,Private Equity,"38,00,000",38
Lifestyle,Designer-led consumer products,Bangalore,Private Equity,"1,30,00,000",130
Technology,Online Truck aggregator platform,Chennai,Debt Funding,"15,00,000",15
Health and wellness,Health and fitness based mobile App,Goa,Seed/Angel Funding,"13,50,000",13.5
Technology,Student accommodation platform,Delhi,Private Equity,"20,00,000",20
Consumer Internet,App based cab hailing services,Bangalore,Private Equity,"11,00,00,000",1100
Consumer Internet,Education collaboration platform,Bangalore,Seed Funding,"3,06,000",3.06
Consumer Internet,Digital Wallet,Bangalore,Private Equity,"3,87,00,000",387
Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,Private Equity,"10,00,000",10
Technology,rooftop solar platform,Mumbai,Seed Funding,"4,50,000",4.5
E-Commerce,E-Commerce Portal for Used Goods,Bangalore,Private Equity,"92,00,000",92
E-Commerce,Mobile repair and Refurbishment platform,New Delhi,Private Equity,"31,00,000",31
Technology,Fresh Produce SCM company,Bangalore,Private Equity,"80,00,000",80
Consumer Internet,Self Drive car and bike rental platform,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,Student Micro-financing platform,Bangalore,Private Equity,"20,00,000",20
E-Commerce,Home Interior Designing Seller,Bangalore,Private Equity,"27,00,000",27
Technology,Education Technology platform,New Delhi,Seed Funding,"3,36,000",3.36
Technology,AI-powered deep learning solutions,Gurgaon,Private Equity,"14,00,000",14
Consumer Internet,online restaurant reservation platform,Gurgaon,Private Equity,"45,00,000",45
E-Commerce,Online Reseller Network,Bangalore,Private Equity,"31,00,000",31
Logistics,Medical Transport Services,Hyderabad,Private Equity,"11,00,000",11
Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Seed Funding,"2,35,000",2.35
Consumer Internet,Online insurance policy aggregator,Gurgaon,Private Equity,"7,70,00,000",770
Consumer Internet,home maintenance services platform,Bangalore,Seed Funding,"2,50,000",2.5
E-Commerce,Online Chai ordering platform,Gurgaon,Private Equity,"20,00,000",20
Consumer Internet,Micro-lending platform,Bangalore,Private Equity,"80,00,000",80
Consumer Internet,Online Insurance Aggregator,New Delhi,Private Equity,"92,00,000",92
Consumer Internet,Food Ordering Portal,Bangalore,Private Equity,"70,00,000",70
Consumer Internet,Online Financial Marketplace,Chennai,Private Equity,"70,00,000",70
Logistics,B2B Logistics provider,Bangalore,Private Equity,"77,00,000",77
Consumer Internet,Online peer-to-peer lending platform,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Mobile based learning app,Mumbai,Private Equity,"70,00,000",70
Food & Beverages,Cold pressed Juice maker,Mumbai,Private Equity,"60,00,000",60
Consumer Internet,app-only lending platform,Mumbai,Debt Funding,"31,00,000",31
Consumer Internet,Machine learning based parking discovery,Kolkata,Seed Funding,"1,18,000",1.18
Food & Beverages,Herbal energy shot maker,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,SME lending platform,New Delhi,Private Equity,"30,00,000",30
Consumer Internet,Online Learning Platform,Bangalore,Seed Funding,"7,22,000",7.22
Consumer Internet,Contract Automation,Gurgaon,Seed Funding,"5,50,000",5.5
E-Commerce,Online Grocery portal,Bangalore,Private Equity,"50,00,000",50
Technology,B2B Finance & Fulfilment Network,Gurgaon,Debt Funding,"38,00,000",38
Technology,Payments Platform for Marketplaces and Finances,New Delhi,Seed Funding,"1,20,000",1.2
Consumer Internet,App based cab hailing services,Bangalore,Private Equity,"77,00,000",77
Food & Beverages,Agriculture Technology,Coimbatore,Private Equity,"20,00,000",20
E-Commerce,Online Pharmacy,Chennai,Private Equity,"1,40,00,000",140
Finance,Equity Stock Exchange,Mumbai,Private Equity,"3,20,00,000",320
eCommece,Online B2B store for office supplies,Chennai,Private Equity,"10,00,000",10
Consumer Internet,Online Doctor Discovery platform,Bangalore,Private Equity,"15,00,000",15
Consumer Internet,Online Photography platform,Mumbai,Private Equity,"13,00,000",13
Technology,Application Performance Acceleration,Pune,Private Equity,"56,00,000",56
Consumer Internet,online lending platform,Bangalore,Private Equity,"15,00,000",15
Technology,EduTechnology Platform,Gurgaon,Seed Funding,"6,00,000",6
Consumer Internet,Online Lending Platform,Ahmedabad,Private Equity,"1,07,50,000",107.5
Consumer Internet,Online travel booking platform,New Delhi,Private Equity,"1,00,00,000",100
Health and wellness,Medical Diagnostic Solutions,Bangalore,Private Equity,"60,00,000",60
E-Commerce,Buying Club for Small Businesses,Gurgaon,Private Equity,"2,60,00,000",260
Consumer Internet,Online Credit scoring platform,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Branded budget hotels marketplace,Gurgaon,Private Equity,"25,00,00,000",2500
Consumer Internet,Online Unsecured Lending platform,Pune,Debt Funding,"7,80,000",7.8
E-Commerce,E-Commerce portal for senior citizens,Pune,Private Equity,"10,00,000",10
Consumer Internet,Micro Lending Platform,New Delhi,Debt Funding,"69,00,000",69
Logistics,Logistics Solutions provider,New Delhi,Private Equity,"3,00,00,000",300
Consumer Internet,Health and wellness Services Aggregator,Hyderabad,Private Equity,"62,00,000",62
Consumer Internet,Health and wellness services portal,New Delhi,Seed Funding,"1,00,000",1
Technology,Imaging Technology for Armed Forces,Bangalore,Private Equity,"1,70,00,000",170
Consumer Internet,Smart Parking Enabler,New Delhi,Private Equity,"30,00,000",30
Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,udget hotel marketplace,Gurgaon,Private Equity,"1,00,00,000",100
Consumer Internet,Online learning platform,Mumbai,Private Equity,"1,15,00,000",115
Technology,Telecom & IoT platform,Chennai,Seed Funding,"7,80,000",7.8
Technology,Virtual Reality gaming and entertainment platform,Mumbai,Private Equity,"4,40,00,000",440
Consumer Portal,Bike Rental Platform,Bangalore,Seed Funding,"1,20,000",1.2
E-Commerce,Pregnancy & Baby Care product etailer,Gurgaon,Private Equity,"10,00,000",10
Technology,Integrated receivables software solutions,Hyderabad,Private Equity,"5,00,00,000",500
Finance,financial services firm,Gaya,Private Equity,"60,00,000",60
E-Commerce,Home Furnishing & Building material marketplace,Bangalore,Private Equity,"10,00,000",10
E-Commerce,Online Travel Agency,Gurgaon,Debt Funding,"1,54,00,000",154
Technology,SME Marketing Management Solution,Bangalore,Private Equity,"60,00,000",60
Consumer Internet,Bike Aggregator Mobile App,Bangalore,Seed Funding,"4,22,000",4.22
Consumer Internet,Sports & Sport related equipment portal,Mumbai,Seed Funding,"1,50,000",1.5
Technology,Geospatial Technology-based SaaS solutions,Mumbai,Private Equity,"16,00,000",16
Consumer Internet,Car repair and Servicing Platform,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,Local Language Health Information portal,New Delhi,Seed Funding,"3,00,000",3
Technology,Defense Technology & Aerospace startup,Bangalore,Private Equity,"10,00,000",10
Technology,Predictive Care Platform,Bangalore,Private Equity,"13,00,000",13
Consumer Internet,DIY E-Commerce platform,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Health and wellness service aggregator,Hyderabad,Seed Funding,"8,50,000",8.5
Logistics,On-Demand Logistics Service provider,Mumbai,Seed Funding,"3,00,000",3
Technology,Hospital Management Software,Chennai,Seed Funding,"2,43,000",2.43
Consumer Internet,foreign exchange services,New Delhi,Seed Funding,"2,20,000",2.2
Logistics,Mobile based Logistics Service,New Delhi,Seed Funding,"31,00,000",31
Technology,Agriculture Supply Chain solutions,Gurgaon,Seed Funding,"7,83,000",7.83
E-Commerce,Online Marketplace,Bangalore,Private Equity,"2,50,00,00,000",25000
Consumer Internet,App based cab aggregation Service,Gurgaon,Private Equity,"3,60,00,000",360
Technology,Personal Loans & EMI solutions platform,Mumbai,Seed Funding,"3,12,000",3.12
Consumer Internet,Unsecured Small Business Loans,Bangalore,Seed Funding,"3,85,000",3.85
E-Commerce,Building material online store,New Delhi,Seed Funding,"1,87,000",1.87
Technology,speech recognition startup,Chennai,Private Equity,"68,00,000",68
Consumer Internet,E-Technology platform,Vadodara,Seed Funding,"7,34,000",7.34
Technology,Cloud data protection and management solutions,Pune,Private Equity,"8,00,00,000",800
E-Commerce,Men Grooming product etailer,New Delhi,Private Equity,"23,00,000",23
Technology,Software & Mobile app development platform,Bangalore,Seed Funding,"5,00,000",5
Technology,mPOS solutions provider,Bangalore,Private Equity,"1,60,00,000",160
Consumer Internet,Online printing marketplace,Chennai,Seed Funding,"7,50,000",7.5
Consumer Internet,Online Doctor Discovery Platform,Bangalore,Seed Funding,"1,25,000",1.25
Technology,Restaurant & Hotel CRM platform,Pune,Private Equity,"70,00,000",70
Consumer Internet,End to End Health and wellness platform.,Bangalore,Private Equity,"2,50,00,000",250
Technology,HealthTechnology IoT platform,Mumbai,Seed Funding,"7,50,000",7.5
Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Private Equity,"3,40,00,000",340
Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,"3,00,00,000",300
Consumer Internet,Peer to Peer Lending platform,Bangalore,Seed Funding,"10,00,000",10
Technology,Energy management solutions provider,Ahmedabad,Private Equity,"26,00,000",26
E-Commerce,Online marketplace for automobiles,Gurgaon,Private Equity,"2,00,00,000",200
E-Commerce,online marketplace for food and grocery,Bangalore,Private Equity,"85,00,000",85
E-Commerce,B2B marketplace for Industrial products,Noida,Private Equity,"1,20,00,000",120
Consumer Internet,Hyperlocal home services provider,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Media Video platform,Bangalore,Seed Funding,"10,00,000",10
Technology,Workshop Management Software Platform,Hyderabad,Private Equity,"30,00,000",30
Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Private Equity,"22,50,000",22.5
Consumer Internet,Video Content Discovery Platform,Mumbai,Seed Funding,"4,64,000",4.64
Technology,Digital payments solutions,Bangalore,Private Equity,"1,85,00,000",185
Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,"5,40,000",5.4
E-Commerce,Designer consumer products Marketplace,Bangalore,Private Equity,"17,00,000",17
Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,"20,00,000",20
Technology,Enterprise Banking Solutions,Pune,Private Equity,"40,00,000",40
Consumer Internet,Consumer Leasing Platform,Bangalore,Private Equity,"1,00,00,000",100
Technology,Gamified Learning App,Bangalore,Seed Funding,"6,00,000",6
Technology,Online payments platform,Gurgaon,Seed Funding,"7,00,000",7
E-Commerce,Online Marketplace for Construction Material,Gurgaon,Seed Funding,"2,00,000",2
Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,Private Equity,"12,00,000",12
Consumer Internet,Mobile Learning App,Bangalore,Private Equity,"3,50,00,000",350
Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Private Equity,"2,50,00,000",250
Consumer Internet,Assisted Learning Startup,Bangalore,Seed Funding,"2,00,000",2
E-Commerce,Online Pharmacy,Gurgaon,Private Equity,"1,50,00,000",150
Consumer Internet,Beauty Services Marketplace,Mumbai,Private Equity,"12,50,000",12.5
E-Commerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,Seed Funding,"2,34,000",2.34
Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Private Equity,"5,00,00,000",500
E-Commerce,Online Used Car marketplace,Gurgaon,Private Equity,"10,00,000",10
Consumer Internet,co-working spaces,Bangalore,Private Equity,"12,00,000",12
Consumer Internet,Mobile app for Mental Health,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,Online lending platform,New Delhi,Seed Funding,"6,50,000",6.5
Consumer Internet,health and fitness discovery platform,Mumbai,Seed Funding,"6,00,000",6
Consumer Internet,Health coaching programs,Hyderabad,Seed Funding,"2,32,000",2.32
Technology,CRM Software for Health and wellness space,Hyderabad,Private Equity,"15,00,000",15
Technology,Unified Digital Health Platform,Bangalore,Private Equity,"15,00,000",15
Consumer Internet,App-based Investment advisory Services,Bangalore,Seed Funding,"3,50,000",3.5
Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,"3,00,000",3
Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,Seed Funding,"2,50,000",2.5
Consumer Internet,Online Lending platform,Ahmedabad,Debt Funding,"78,00,000",78
Technology,AI,Bangalore,Private Equity,"5,00,000",5
Health and wellness,Hygiene care product manufacturer,New Delhi,Private Equity,"10,00,000",10
Consumer Internet,Online rooms aggregation platform,Mumbai,Seed Funding,"7,76,000",7.76
Consumer Internet,Online insurance brokerage platform,Mumbai,Private Equity,"1,50,00,000",150
Technology,CSR and sustainability management platform,Bangalore,Private Equity,"55,00,000",55
Consumer Internet,Cab Aggregation App,Bangalore,Private Equity,"5,00,00,000",500
Consumer Internet,Micro Food Delivery platform,Noida,Seed Funding,"5,00,000",5
Consumer Internet,Money Lending platform,Bangalore,Private Equity,"1,23,00,000",123
E-Commerce,Mobile SaaS\\xc2\\xa0 E-Commerce platform for SMEs,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,Personal Finance platform,Mumbai,Seed Funding,"1,00,000",1
Technology,Maritime Solutions,Noida,Seed Funding,"20,00,000",20
Technology,Cloud-based product discovery platform,Bangalore,Private Equity,"1,25,00,000",125
Technology,Enterprise human resources management platform,Hyderabad,Private Equity,"40,00,000",40
Consumer Internet,Mobile based E-Commerce platform,Bangalore,Seed Funding,"3,00,000",3
Consumer Internet,Events Ticketing platform,Mumbai,Private Equity,"52,00,000",52
E-Commerce,Fashion etailer,Mumbai,Private Equity,"24,00,000",24
Consumer Internet,Health-Technology platform,Bangalore,Private Equity,"45,00,000",45
Technology,AI based platform,Hyderabad,Seed Funding,"2,15,000",2.15
Technology,Point-of-Sale services,Mumbai,Private Equity,"3,10,00,000",310
Technology,Open Source Language for Data Science and Machine Learning,Bangalore,Private Equity,"46,00,000",46
Consumer Internet,Consumer Lending platform,Mumbai,Private Equity,"20,00,000",20
Consumer Internet,Local homes booking platform,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Lending platform for salaried professionals,Mumbai,Private Equity,"40,00,000",40
Consumer Internet,Mobile based social networking platform,Mumbai,Seed Funding,"10,00,000",10
Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,Private Equity,"50,00,000",50
E-Commerce,Online marketplace,Bangalore,Private Equity,"7,10,00,000",710
Consumer Internet,Holiday & Vacation resort aggregator,Noida,Private Equity,"40,00,000",40
Consumer Internet,Personal Finance App,New Delhi,Private Equity,"50,00,000",50
E-Commerce,Automobile parts marketplace,Pune,Seed Funding,"3,11,000",3.11
Consumer Internet,Online Marketplace for financial products,Mumbai,Private Equity,"30,00,000",30
Consumer Internet,AI Based Personal Assistant,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,Online Fitness Marketplace,New Delhi,Private Equity,"10,00,000",10
Technology,in-video discovery platform,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,Mobile Services Marketplace,Gurgaon,Private Equity,"2,10,00,000",210
Consumer Internet,Online Rummy playing Website,Hyderabad,Private Equity,"7,37,00,000",737
E-Commerce,Buying portal for SMEs,Gurgaon,Private Equity,"1,00,00,000",100
Technology,Enterprise Mobility Solutions,Hyderabad,Seed Funding,"15,00,000",15
Logistics,Truck Network company,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,Real estate risk assessment platform,Bangalore,Seed Funding,"3,90,000",3.9
Consumer Internet,Cab Aggregation App,Bangalore,Private Equity,"10,45,00,000",1045
Technology,Software & Mobile development services,Bangalore,Seed Funding,"10,00,000",10
Consumer Internet,Money Savings & Management App,Bangalore,Seed Funding,"2,33,000",2.33
E-Commerce,Private Label Fashion etailer,Gurgaon,Private Equity,"7,00,000",7
Food & Beverages,Cold-press Juices manufacturer,New Delhi,Seed Funding,"10,00,000",10
Technology,Omni-Channel Platform,Bangalore,Private Equity,"50,00,000",50
Technology,Health-Technology Platform,Bangalore,Private Equity,"32,00,000",32
Technology,Energy Analytics startup,New Delhi,Seed Funding,"50,000",0.5
Consumer Internet,Video Intelligence platform,Noida,Private Equity,"14,00,000",14
E-Commerce,Online marketplace,Gurgaon,Private Equity,"77,00,000",77
Consumer Internet,Community Building platform,Bangalore,Seed Funding,"6,00,000",6
Consumer Internet,Online lending platform,Pune,Private Equity,"40,00,000",40
Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Private Equity,"50,00,000",50
Consumer Internet,Digital money transfer platform,Mumbai,Private Equity,"4,66,000",4.66
E-Commerce,Cloud E-Commerce platform,Bangalore,Seed Funding,"10,00,000",10
Technology,Project Management tool,Bangalore,Seed Funding,"5,00,000",5
Technology,Online Payment Gateway,Mumbai,Private Equity,"30,00,000",30
E-Commerce,Fashion E-Commerce Portal,Mumbai,Private Equity,"5,00,000",5
Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,Seed Funding,"2,50,000",2.5
Consumer Internet,Online Lending platform,Mumbai,Private Equity,"53,00,000",53
E-Commerce,Online Luxury Tea etailer,Mumbai,Seed Funding,"10,00,000",10
E-Commerce,Mobile Wallet & E-Commerce platform,Bangalore,Private Equity,"1,40,00,00,000",14000
Consumer Internet,Consumer Lending Platform,Bangalore,Seed Funding,"10,00,000",10
Logistics,E-Commerce Logistics provider,New Delhi,Private Equity,"3,00,00,000",300
Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Hyperlocal discovery platform,Gurgaon,Private Equity,"66,00,000",66
Consumer Internet,Food Delivery Platform,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Online Tutoring Services,Mumbai,Seed Funding,"5,80,000",5.8
Finance,Non-Banking Financial Company,Gurgaon,Private Equity,"80,00,000",80
E-Commerce,Online Medical equipment supplier,Mumbai,Private Equity,"35,00,000",35
Consumer Internet,Subscription based delivery platform,Mumbai,Private Equity,"15,00,000",15
Consumer Internet,Online food delivery platform,Bangalore,Private Equity,"8,00,00,000",800
E-Commerce,Online Pharmacy,Kolkata,Private Equity,"50,00,000",50
Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,Private Equity,"70,00,000",70
Consumer Internet,Online & Mobile based Lending platform,Mumbai,Private Equity,"38,00,000",38
Education,Executive Education Provider,Mumbai,Private Equity,"82,00,000",82
Health and wellness,Home Health and wellness Provider,Noida,Private Equity,"4,00,00,000",400
Food & Beverages,Fresh-Produce Distribution Platform,Chennai,Private Equity,"27,00,000",27
Technology,Finance Solutions,Bangalore,Private Equity,"61,00,000",61
Technology,Interactive Technology-Support Guides,Bangalore,Private Equity,"36,90,000",36.9
Technology,App based Logistics & Distribution platform,Pune,Private Equity,"70,00,000",70
Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,Seed Funding,"5,00,000",5
Consumer Internet,App based Doctor Consulting platform,New Delhi,Seed Funding,"5,00,000",5
Consumer Internet,Food Delivery Platform,Mumbai,Private Equity,"30,00,000",30
Health and wellness,Home-Based Health and wellness provider,Bangalore,Private Equity,"2,10,00,000",210
Consumer Internet,Mobile gaming startup,Bangalore,Private Equity,"50,00,000",50
E-Commerce,Online Pharmacy,Mumbai,Private Equity,"1,80,00,000",180
Consumer Internet,Online rental discovery platform,Gurgaon,Private Equity,"46,00,000",46
Technology,SaaS platform for SMEs,Bangalore,Seed Funding,"1,50,000",1.5
Consumer Internet,Online Lending Platform for SME,Bangalore,Private Equity,"23,00,000",23
E-Commerce,B2B agri-marketing platform,Bangalore,Private Equity,"55,00,000",55
Technology,Software solutions for M&As,Bangalore,Seed Funding,"1,00,000",1
E-Commerce,Online lingerie & Sleepwear etailer,New Delhi,Private Equity,"40,00,000",40
Logistics,Third Party Logistics provider,Mumbai,Private Equity,"45,00,000",45
Consumer Internet,Online Skill Assessment Platform,Bangalore,Private Equity,"45,00,000",45
Technology,Software-As-a-Service Platform,Noida,Private Equity,"21,00,000",21
Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,Private Equity,"77,00,000",77
Consumer Internet,Cab Aggregator App,Bangalore,Private Equity,"26,00,00,000",2600
Consumer Internet,Mobile App for Schools,Jaipur,Seed Funding,"3,10,000",3.1
Consumer Internet,Online Medical Assistance platform,Gurgaon,Private Equity,"15,00,000",15
Food & Beverages,Healthy Snacks manufacturer,Mumbai,Seed Funding,"1,75,000",1.75
