hours-per-week,education,workclass,age,YearofExperience,fnlwgt
40,10th,Private,18,1.8,245199
45,Bachelors,Private,36,3.6,72375
45,HS-grad,Private,34,3.4,117963
55,HS-grad,Private,45,4.5,160440
40,Assoc-acdm,Federal-gov,64,6.4,113570
55,HS-grad,?,58,5.8,191830
35,9th,Private,24,2.4,232328
45,Bachelors,Private,37,3.7,92028
55,HS-grad,Private,48,4.8,138342
40,Some-college,Private,42,4.2,197810
40,Some-college,Private,28,2.8,102142
40,Bachelors,Private,31,3.1,104223
40,HS-grad,Private,34,3.4,132835
70,Bachelors,Self-emp-not-inc,31,3.1,109195
40,Some-college,Private,33,3.3,203463
50,11th,Local-gov,47,4.7,33114
50,Bachelors,Private,27,2.7,187450
40,Some-college,Private,36,3.6,104213
40,HS-grad,Private,31,3.1,257849
40,HS-grad,Private,56,5.6,50490
12,12th,Private,18,1.8,85508
60,Bachelors,Self-emp-not-inc,54,5.4,60449
40,Some-college,Local-gov,27,2.7,131310
44,Masters,Self-emp-not-inc,65,6.5,158177
24,11th,Private,65,6.5,115922
48,Some-college,Private,21,2.1,403471
40,Some-college,Private,22,2.2,176131
40,HS-grad,Private,32,3.2,149531
35,11th,Private,42,4.2,262243
40,HS-grad,Private,32,3.2,64658
20,Some-college,Private,21,2.1,127914
50,HS-grad,Self-emp-inc,49,4.9,182211
43,HS-grad,Private,30,3,48520
11,Some-college,Private,20,2,403118
40,HS-grad,Private,55,5.5,119344
40,9th,Self-emp-not-inc,46,4.6,334456
40,HS-grad,Private,31,3.1,263110
40,Some-college,Self-emp-not-inc,31,3.1,279015
40,5th-6th,Private,58,5.8,195878
40,12th,Private,34,3.4,217652
48,Some-college,Federal-gov,65,6.5,44807
40,HS-grad,Private,48,4.8,129777
15,Some-college,?,28,2.8,195568
40,Some-college,Private,44,4.4,227466
40,11th,Private,26,2.6,228457
40,HS-grad,Self-emp-not-inc,45,4.5,247053
30,HS-grad,Private,19,1.9,188669
40,Bachelors,Private,45,4.5,40666
40,9th,?,57,5.7,190514
40,Some-college,Local-gov,36,3.6,404661
56,HS-grad,Self-emp-not-inc,45,4.5,39986
35,Some-college,Private,43,4.3,175133
40,10th,Private,62,6.2,101375
40,Assoc-acdm,Private,31,3.1,256680
40,Bachelors,State-gov,46,4.6,136878
44,5th-6th,Private,51,5.1,106151
38,HS-grad,?,38,3.8,242221
43,HS-grad,Private,38,3.8,101387
38,Some-college,Private,51,5.1,196828
30,Some-college,?,20,2,195075
22,Some-college,Private,22,2.2,333910
40,Some-college,Self-emp-not-inc,46,4.6,103540
40,HS-grad,Self-emp-not-inc,67,6.7,36876
40,HS-grad,Private,55,5.5,158651
40,Assoc-voc,Private,24,2.4,196943
59,Some-college,Private,41,4.1,184583
40,HS-grad,Private,33,3.3,244817
40,Bachelors,Private,35,3.5,386726
60,Masters,Self-emp-inc,56,5.6,373593
40,HS-grad,Private,27,2.7,206199
40,Assoc-voc,Private,32,3.2,93283
4,Bachelors,?,29,2.9,103628
25,Some-college,Local-gov,21,2.1,391936
40,HS-grad,Local-gov,31,3.1,168740
45,Some-college,Private,42,4.2,150568
25,HS-grad,Private,19,1.9,201178
60,Prof-school,Private,63,6.3,75813
18,Bachelors,Local-gov,34,3.4,398988
40,Some-college,Private,38,3.8,158363
20,Some-college,Private,19,1.9,81961
40,HS-grad,Private,34,3.4,170017
40,HS-grad,Private,21,2.1,348092
32,Some-college,Private,27,2.7,54861
60,HS-grad,Self-emp-not-inc,63,6.3,74991
20,Bachelors,Private,25,2.5,106552
60,Some-college,Private,51,5.1,27539
40,Masters,Private,50,5,268913
40,HS-grad,Private,63,6.3,199888
40,Some-college,Private,53,5.3,288216
10,12th,Self-emp-inc,18,1.8,378036
40,HS-grad,Private,41,4.1,127314
50,HS-grad,Private,32,3.2,115963
40,11th,Private,19,1.9,332928
45,Bachelors,Self-emp-not-inc,41,4.1,178510
37,HS-grad,Private,29,2.9,53147
40,Some-college,Private,66,6.6,115880
55,Bachelors,Private,57,5.7,375502
40,5th-6th,Self-emp-not-inc,49,4.9,155659
40,Some-college,Private,36,3.6,122240
10,Assoc-voc,Private,33,3.3,112305
40,11th,Federal-gov,46,4.6,35136
16,Bachelors,Private,27,2.7,215423
40,HS-grad,Private,24,2.4,116358
14,10th,Private,17,1.7,171461
40,HS-grad,Private,32,3.2,131584
65,HS-grad,Self-emp-inc,40,4,29520
50,Bachelors,Local-gov,35,3.5,246463
30,Some-college,Private,22,2.2,32616
30,HS-grad,Private,41,4.1,144144
9,HS-grad,?,75,7.5,222789
40,Bachelors,Private,22,2.2,227594
40,Bachelors,Local-gov,45,4.5,375606
50,Bachelors,Private,46,4.6,180532
40,HS-grad,State-gov,50,5,54342
40,HS-grad,Private,31,3.1,208798
40,Masters,Local-gov,47,4.7,377401
20,HS-grad,Self-emp-not-inc,36,3.6,110861
40,HS-grad,Private,42,4.2,144594
50,Some-college,Private,23,2.3,129345
40,Some-college,Private,28,2.8,424340
40,HS-grad,Private,44,4.4,187702
40,HS-grad,State-gov,47,4.7,293917
45,HS-grad,Private,61,6.1,160143
40,7th-8th,Private,50,5,345450
50,Masters,State-gov,54,5.4,180881
40,11th,Private,18,1.8,102690
40,Some-college,Private,46,4.6,265371
40,HS-grad,Private,44,4.4,167333
40,Masters,Self-emp-inc,50,5,447144
60,HS-grad,Private,32,3.2,280077
25,Masters,Private,48,4.8,143920
60,HS-grad,Private,40,4,190507
72,11th,Self-emp-not-inc,34,3.4,59469
40,Bachelors,Private,31,3.1,74501
45,Doctorate,Self-emp-inc,43,4.3,215458
40,Assoc-voc,Private,33,3.3,281685
40,Some-college,Private,62,6.2,78273
40,HS-grad,Private,44,4.4,105475
40,HS-grad,Private,55,5.5,174260
40,Assoc-voc,Self-emp-inc,42,4.2,149102
40,Some-college,Private,42,4.2,188331
40,10th,Private,23,2.3,864960
40,Some-college,Private,63,6.3,154526
40,Assoc-voc,Private,23,2.3,60783
35,HS-grad,Private,32,3.2,186269
30,1st-4th,Private,30,3,398019
40,HS-grad,Federal-gov,50,5,237503
40,Some-college,Private,19,1.9,93762
40,HS-grad,Private,40,4,59916
40,HS-grad,Private,45,4.5,203264
50,Bachelors,Self-emp-not-inc,51,5.1,299119
46,Some-college,Federal-gov,29,2.9,114072
16,Some-college,?,18,1.8,167875
40,HS-grad,Private,64,6.4,130525
38,HS-grad,Private,58,5.8,71283
45,Masters,Local-gov,43,4.3,85440
50,Bachelors,Private,27,2.7,136077
45,Bachelors,Private,40,4,222434
40,Some-college,Private,25,2.5,138111
35,Bachelors,Private,27,2.7,225746
40,Masters,Private,54,5.4,240358
40,1st-4th,Private,25,2.5,139863
40,HS-grad,Private,39,3.9,278632
60,Bachelors,Self-emp-not-inc,51,5.1,71046
50,Some-college,Private,29,2.9,312985
40,Some-college,Federal-gov,49,4.9,276309
40,HS-grad,?,29,2.9,199116
30,HS-grad,Private,39,3.9,52870
30,Doctorate,State-gov,51,5.1,79324
40,11th,Private,50,5,188882
40,Some-college,Federal-gov,39,3.9,72338
35,Bachelors,?,23,2.3,234108
55,Bachelors,Private,24,2.4,113936
35,Prof-school,Private,43,4.3,182521
84,Bachelors,Private,60,6,124198
40,Some-college,Private,20,2,228960
50,Bachelors,Self-emp-not-inc,60,6,176360
36,Bachelors,Private,35,3.5,178649
50,Bachelors,Private,41,4.1,338740
40,Some-college,Private,31,3.1,205659
40,Assoc-voc,Private,59,5.9,258883
45,HS-grad,Private,45,4.5,196638
5,Prof-school,Self-emp-not-inc,43,4.3,95246
30,Some-college,?,20,2,216672
45,Bachelors,Private,25,2.5,61956
40,Masters,Private,33,3.3,157216
30,Masters,?,68,6.8,150250
55,Masters,Private,37,3.7,112838
40,Assoc-voc,State-gov,31,3.1,158688
40,HS-grad,State-gov,31,3.1,227864
40,HS-grad,Private,31,3.1,173858
80,HS-grad,Private,51,5.1,30012
25,Some-college,?,20,2,50163
40,Doctorate,State-gov,50,5,143822
35,7th-8th,?,19,1.9,497414
40,Assoc-voc,Private,30,3,235109
40,HS-grad,Private,32,3.2,339196
18,Masters,Private,61,6.1,181028
40,Bachelors,Private,43,4.3,59460
25,HS-grad,Private,21,2.1,97212
50,Assoc-voc,Private,32,3.2,103642
60,Some-college,Private,41,4.1,70447
10,Some-college,Private,27,2.7,321456
30,Bachelors,Private,23,2.3,126613
48,Assoc-voc,Self-emp-not-inc,52,5.2,149508
60,Bachelors,Private,38,3.8,332154
15,HS-grad,?,18,1.8,471876
40,Bachelors,Private,25,2.5,140669
55,Some-college,Private,38,3.8,107164
40,Assoc-voc,Private,39,3.9,225707
70,Some-college,Self-emp-inc,64,6.4,56588
99,Prof-school,Self-emp-inc,31,3.1,183125
45,Some-college,Private,56,5.6,177368
40,Some-college,Private,40,4,218653
40,Some-college,Private,39,3.9,191137
40,Some-college,Private,50,5,181585
40,HS-grad,Private,23,2.3,142566
70,Masters,Self-emp-inc,41,4.1,220821
40,Bachelors,Private,37,3.7,280966
40,HS-grad,Private,52,5.2,153155
40,HS-grad,Private,29,2.9,195446
40,1st-4th,Private,62,6.2,77884
40,HS-grad,Private,41,4.1,99373
40,HS-grad,Private,47,4.7,118729
40,HS-grad,Private,25,2.5,108414
20,HS-grad,Private,22,2.2,198366
36,HS-grad,Private,42,4.2,238384
50,Bachelors,Private,27,2.7,214695
40,11th,Private,33,3.3,120420
50,Masters,Private,37,3.7,186934
27,9th,Self-emp-not-inc,29,2.9,100368
43,HS-grad,Private,49,4.9,723746
16,Some-college,?,67,6.7,427422
40,HS-grad,Private,44,4.4,54271
40,7th-8th,Private,47,4.7,189680
40,HS-grad,Private,49,4.9,230796
40,HS-grad,State-gov,37,3.7,195843
50,HS-grad,Private,41,4.1,109912
40,HS-grad,Private,19,1.9,42069
70,HS-grad,Private,22,2.2,335950
40,11th,Private,45,4.5,163174
25,Some-college,Private,24,2.4,81145
40,7th-8th,Local-gov,67,6.7,312052
40,Some-college,Private,28,2.8,209934
40,Assoc-acdm,?,22,2.2,269221
40,Assoc-voc,Private,57,5.7,322691
28,HS-grad,Private,68,6.8,99849
30,Some-college,?,23,2.3,213004
40,HS-grad,Private,49,4.9,182313
65,Masters,Private,42,4.2,201505
40,HS-grad,Self-emp-not-inc,61,6.1,227119
40,7th-8th,Private,47,4.7,202395
40,11th,Private,22,2.2,170583
50,Doctorate,State-gov,58,5.8,21838
60,Doctorate,Self-emp-inc,50,5,68898
40,Some-college,Private,34,3.4,226702
35,HS-grad,?,59,5.9,168079
45,Bachelors,Self-emp-inc,42,4.2,173628
40,11th,Private,20,2,164529
40,Some-college,Self-emp-not-inc,27,2.7,301514
60,HS-grad,Private,50,5,194580
40,Some-college,Private,63,6.3,165611
40,Some-college,Private,32,3.2,96480
40,Assoc-voc,State-gov,37,3.7,224700
20,10th,Self-emp-not-inc,63,6.3,141962
20,Some-college,Private,22,2.2,377815
25,Some-college,Private,24,2.4,271379
40,Some-college,Private,40,4,421837
40,HS-grad,Private,36,3.6,77953
50,Some-college,Self-emp-not-inc,30,3,345122
20,11th,?,38,3.8,172855
40,10th,Private,34,3.4,87131
30,Some-college,Private,21,2.1,328906
43,HS-grad,Private,56,5.6,21626
40,Assoc-acdm,Private,38,3.8,143909
40,Assoc-acdm,Private,32,3.2,178835
24,Some-college,Private,45,4.5,94809
40,HS-grad,Local-gov,64,6.4,172768
50,Bachelors,Self-emp-inc,30,3,204742
70,Bachelors,Self-emp-inc,32,3.2,144949
40,HS-grad,Private,26,2.6,195562
30,HS-grad,Self-emp-not-inc,46,4.6,56482
72,7th-8th,Federal-gov,55,5.5,36314
8,Some-college,Self-emp-not-inc,51,5.1,329980
40,HS-grad,Local-gov,62,6.2,103344
40,Bachelors,Local-gov,34,3.4,169708
40,Some-college,Local-gov,54,5.4,249949
40,Bachelors,Self-emp-not-inc,35,3.5,186934
48,Bachelors,Private,28,2.8,692831
16,12th,Private,17,1.7,154078
35,Some-college,Private,22,2.2,91733
48,7th-8th,Self-emp-inc,67,6.7,325373
65,Some-college,Self-emp-not-inc,43,4.3,160369
40,Assoc-voc,Local-gov,57,5.7,196126
35,HS-grad,Private,38,3.8,120053
25,HS-grad,Private,19,1.9,204337
40,HS-grad,Private,34,3.4,128016
16,Assoc-voc,?,50,5,199301
40,HS-grad,Private,33,3.3,49027
20,Some-college,Private,18,1.8,192022
5,Bachelors,Private,40,4,147099
45,HS-grad,Private,32,3.2,334744
40,HS-grad,Private,25,2.5,207621
40,Bachelors,Private,29,2.9,194458
50,HS-grad,Self-emp-inc,33,3.3,184245
40,HS-grad,Private,34,3.4,242704
40,HS-grad,?,21,2.1,278130
40,10th,Private,23,2.3,251073
40,Some-college,Private,21,2.1,153209
40,Some-college,Private,42,4.2,360879
40,Some-college,Private,32,3.2,115066
40,Some-college,Private,31,3.1,409172
50,HS-grad,Private,63,6.3,223637
50,Masters,Private,36,3.6,161141
30,Some-college,Private,34,3.4,535869
40,9th,Federal-gov,60,6,49921
30,Bachelors,Private,23,2.3,335067
40,Some-college,Self-emp-inc,47,4.7,209460
16,Some-college,Private,20,2,355236
50,Masters,Private,50,5,240374
35,12th,Private,29,2.9,221428
40,HS-grad,Private,37,3.7,356250
10,Some-college,Private,20,2,356347
50,Some-college,Private,50,5,245356
50,HS-grad,Self-emp-not-inc,31,3.1,247088
40,Some-college,?,27,2.7,200381
40,Assoc-voc,Private,35,3.5,300333
70,Bachelors,Private,38,3.8,109594
40,Some-college,Local-gov,24,2.4,221480
40,Some-college,Private,29,2.9,433624
40,Assoc-voc,Private,27,2.7,179681
48,Some-college,Local-gov,21,2.1,136208
40,HS-grad,Private,64,6.4,159715
40,HS-grad,Private,33,3.3,164683
40,11th,Private,35,3.5,152307
50,HS-grad,Private,51,5.1,256908
40,Bachelors,Private,23,2.3,227943
26,Masters,?,75,7.5,33673
40,HS-grad,Private,26,2.6,116991
40,Masters,Private,64,6.4,96076
50,HS-grad,Self-emp-inc,32,3.2,201314
20,12th,Private,17,1.7,153021
47,Some-college,State-gov,34,3.4,334422
40,HS-grad,Private,37,3.7,160192
14,HS-grad,?,72,7.2,51216
50,Some-college,Private,47,4.7,323212
35,Bachelors,Self-emp-inc,45,4.5,179030
50,10th,Private,23,2.3,129345
50,Masters,Private,36,3.6,31023
45,Doctorate,Self-emp-inc,62,6.2,164616
53,Bachelors,Federal-gov,34,3.4,121093
40,10th,Private,36,3.6,300373
60,Bachelors,Private,35,3.5,95708
40,Bachelors,State-gov,36,3.6,235779
40,Bachelors,Private,29,2.9,114158
55,Bachelors,Private,54,5.4,192226
40,HS-grad,Private,38,3.8,166416
50,HS-grad,Private,27,2.7,211215
45,Bachelors,Private,26,2.6,157617
20,7th-8th,Private,44,4.4,96170
36,Assoc-acdm,Private,26,2.6,224045
45,Some-college,Private,42,4.2,350550
60,Prof-school,Self-emp-not-inc,37,3.7,114719
35,Bachelors,Private,26,2.6,124111
40,HS-grad,Private,36,3.6,250224
40,HS-grad,?,19,1.9,232060
50,Masters,Private,44,4.4,195258
42,HS-grad,Private,23,2.3,285775
40,Some-college,Private,27,2.7,146687
60,HS-grad,Private,53,5.3,76128
40,HS-grad,Private,28,2.8,241607
35,HS-grad,Private,22,2.2,273675
40,11th,Private,29,2.9,210867
40,Some-college,Private,41,4.1,144752
40,HS-grad,Private,34,3.4,185820
70,Bachelors,Private,42,4.2,252518
40,9th,Private,30,3,123833
43,Some-college,Private,41,4.1,291569
32,Bachelors,Private,37,3.7,638116
40,11th,Private,46,4.6,269045
40,7th-8th,Private,46,4.6,102852
50,Bachelors,Private,30,3,195447
50,Bachelors,Private,27,2.7,173944
43,HS-grad,Private,25,2.5,276728
40,Some-college,State-gov,21,2.1,173534
40,Assoc-acdm,Private,23,2.3,198368
30,HS-grad,Private,18,1.8,27620
40,11th,Local-gov,46,4.6,192235
48,Some-college,Private,27,2.7,467936
60,Bachelors,Private,25,2.5,264136
50,Bachelors,Self-emp-not-inc,61,6.1,184009
40,Masters,Private,50,5,165001
40,Some-college,Private,66,6.6,123484
20,HS-grad,Private,26,2.6,123384
48,Assoc-acdm,Self-emp-inc,50,5,235307
40,HS-grad,Private,41,4.1,238384
20,Assoc-acdm,Self-emp-not-inc,43,4.3,171351
40,Bachelors,State-gov,38,3.8,162424
35,Some-college,Private,20,2,333838
42,Assoc-acdm,Private,58,5.8,100303
50,Doctorate,Federal-gov,41,4.1,58447
36,Assoc-voc,Local-gov,43,4.3,317185
40,Bachelors,Private,39,3.9,103323
60,Some-college,Private,22,2.2,221694
40,HS-grad,Private,52,5.2,214091
40,Bachelors,?,35,3.5,171062
40,HS-grad,Private,46,4.6,278200
40,Some-college,Private,20,2,187592
48,Some-college,Private,55,5.5,188382
40,Some-college,Private,48,4.8,65584
40,Some-college,?,22,2.2,117789
55,Some-college,Private,30,3,402089
40,HS-grad,Private,40,4,69730
45,Bachelors,Private,44,4.4,34218
40,HS-grad,Federal-gov,55,5.5,54566
28,Bachelors,Private,53,5.3,698039
40,10th,?,57,5.7,76571
40,7th-8th,Private,57,5.7,133201
40,Assoc-voc,Federal-gov,47,4.7,146786
15,Some-college,?,46,4.6,96154
40,Bachelors,State-gov,64,6.4,143880
18,12th,Private,18,1.8,132397
40,Some-college,?,28,2.8,45613
40,HS-grad,Private,25,2.5,136226
50,Bachelors,Self-emp-not-inc,37,3.7,334291
32,HS-grad,Private,33,3.3,183017
20,7th-8th,Private,66,6.6,207917
40,HS-grad,?,65,6.5,136431
40,Some-college,Private,37,3.7,80303
30,Some-college,Private,19,1.9,210509
35,HS-grad,?,37,3.7,48915
40,Assoc-acdm,Private,41,4.1,91316
40,HS-grad,Private,41,4.1,205670
8,HS-grad,Private,76,7.6,25319
40,Some-college,Private,52,5.2,264129
50,Some-college,Private,23,2.3,40165
35,HS-grad,Federal-gov,43,4.3,79529
55,Bachelors,Private,32,3.2,164519
35,Assoc-acdm,Private,33,3.3,184178
15,Bachelors,State-gov,33,3.3,427812
50,10th,Self-emp-not-inc,59,5.9,172618
40,11th,Private,21,2.1,472861
40,HS-grad,Private,40,4,114157
35,Assoc-voc,Self-emp-not-inc,22,2.2,104164
35,11th,Self-emp-not-inc,45,4.5,180680
43,Bachelors,Private,28,2.8,300915
50,Some-college,Private,38,3.8,308171
40,HS-grad,Private,56,5.6,320833
18,Some-college,?,42,4.2,167710
36,HS-grad,Private,19,1.9,228577
30,11th,Self-emp-not-inc,48,4.8,221464
28,10th,Self-emp-not-inc,31,3.1,213307
40,Assoc-voc,Private,42,4.2,165815
66,1st-4th,Private,37,3.7,248919
40,10th,?,23,2.3,116934
50,Some-college,Self-emp-not-inc,60,6,285365
40,HS-grad,Private,63,6.3,134960
40,11th,Private,24,2.4,449101
50,Some-college,Private,42,4.2,46019
8,Masters,?,71,7.1,161027
40,Masters,State-gov,32,3.2,19513
50,Bachelors,Self-emp-not-inc,57,5.7,258121
44,HS-grad,Private,56,5.6,242782
50,Some-college,?,65,6.5,193365
50,HS-grad,Private,42,4.2,182402
40,11th,Private,24,2.4,254767
40,HS-grad,Private,31,3.1,112115
40,HS-grad,Private,58,5.8,117299
45,Masters,Private,44,4.4,214781
48,Some-college,Private,33,3.3,197474
25,Some-college,?,24,2.4,234791
45,Bachelors,Local-gov,34,3.4,126584
14,7th-8th,Self-emp-not-inc,72,7.2,28865
40,HS-grad,Private,61,6.1,163729
80,Bachelors,Private,33,3.3,218407
40,Masters,Private,58,5.8,95428
30,HS-grad,Self-emp-inc,57,5.7,146103
40,HS-grad,Private,25,2.5,150312
16,9th,Private,72,7.2,76206
40,HS-grad,Private,23,2.3,340543
40,HS-grad,Private,40,4,125461
48,Some-college,Private,38,3.8,218015
40,Assoc-acdm,Private,49,4.9,178160
40,HS-grad,Private,25,2.5,169905
40,Some-college,Private,33,3.3,226629
40,Bachelors,Private,28,2.8,180313
20,Some-college,?,18,1.8,236276
50,HS-grad,Private,71,7.1,124901
55,HS-grad,Local-gov,63,6.3,214275
56,Assoc-voc,Local-gov,49,4.9,371886
40,Masters,Private,65,6.5,282779
50,Some-college,Private,22,2.2,218415
39,HS-grad,Private,45,4.5,105431
40,Some-college,?,32,3.2,373231
40,Bachelors,Private,29,2.9,59792
40,Bachelors,Private,44,4.4,75742
40,HS-grad,Private,64,6.4,186731
40,7th-8th,Private,22,2.2,310197
50,HS-grad,Private,64,6.4,73413
40,Bachelors,Private,39,3.9,175232
40,HS-grad,Private,35,3.5,338948
40,11th,Private,22,2.2,95647
45,Bachelors,Self-emp-inc,43,4.3,677398
75,Assoc-acdm,Self-emp-not-inc,26,2.6,263300
40,Assoc-acdm,Federal-gov,47,4.7,218325
50,Masters,Local-gov,37,3.7,156261
40,Bachelors,Private,25,2.5,165817
45,Assoc-voc,Private,41,4.1,304605
10,Some-college,Self-emp-not-inc,39,3.9,245361
40,Doctorate,Federal-gov,45,4.5,230685
30,11th,?,18,1.8,184502
40,HS-grad,Local-gov,37,3.7,116736
40,HS-grad,Private,30,3,178952
60,11th,Private,34,3.4,156266
25,Some-college,Private,22,2.2,163519
30,HS-grad,Private,18,1.8,296090
40,HS-grad,Private,22,2.2,119742
10,Some-college,Private,55,5.5,269763
35,Some-college,Private,56,5.6,287833
40,12th,?,19,1.9,190093
6,Bachelors,Self-emp-inc,74,7.4,148003
40,HS-grad,Private,18,1.8,131414
40,Some-college,Private,39,3.9,172571
36,12th,Local-gov,33,3.3,184440
40,Bachelors,Private,28,2.8,216479
40,HS-grad,Private,38,3.8,293475
40,Some-college,Federal-gov,53,5.3,109982
55,12th,Self-emp-not-inc,44,4.4,205033
40,HS-grad,Local-gov,32,3.2,56658
40,Bachelors,Private,58,5.8,159008
40,HS-grad,Private,28,2.8,37302
40,Masters,Local-gov,33,3.3,107417
45,Assoc-voc,Private,33,3.3,236379
32,HS-grad,Private,51,5.1,57637
40,HS-grad,Private,51,5.1,276214
40,9th,Self-emp-not-inc,39,3.9,113749
66,HS-grad,Private,32,3.2,100837
45,Bachelors,Private,45,4.5,239058
20,Some-college,Private,19,1.9,286419
20,Assoc-acdm,?,52,5.2,50934
40,HS-grad,Private,21,2.1,283969
20,HS-grad,Private,76,7.6,152839
40,Some-college,Local-gov,46,4.6,32290
40,Some-college,Private,27,2.7,204373
60,HS-grad,Private,51,5.1,126528
20,HS-grad,Private,19,1.9,245408
40,Assoc-voc,State-gov,30,3,127610
12,HS-grad,Private,46,4.6,132919
48,Some-college,Private,68,6.8,58547
60,Bachelors,Private,36,3.6,251091
20,HS-grad,Private,71,7.1,149950
40,Some-college,Private,32,3.2,464621
40,HS-grad,Private,43,4.3,170230
50,HS-grad,Private,33,3.3,100294
40,Some-college,Local-gov,24,2.4,234108
36,Assoc-voc,Private,38,3.8,33046
37,Some-college,Private,76,7.6,84428
5,HS-grad,Self-emp-not-inc,35,3.5,107662
40,Bachelors,Private,23,2.3,220874
40,Some-college,Local-gov,46,4.6,88564
50,Some-college,Self-emp-inc,44,4.4,144778
10,10th,?,17,1.7,179861
40,HS-grad,Private,30,3,166671
15,HS-grad,Private,51,5.1,97180
24,11th,Self-emp-not-inc,18,1.8,194091
18,10th,Private,23,2.3,308498
40,Masters,Federal-gov,53,5.3,321865
40,Some-college,Private,25,2.5,181814
40,Masters,Private,44,4.4,374423
40,Masters,Private,49,4.9,213668
40,HS-grad,Private,28,2.8,213236
40,Masters,Self-emp-not-inc,58,5.8,115439
35,HS-grad,Private,36,3.6,124111
40,HS-grad,Private,32,3.2,176185
40,Bachelors,Private,26,2.6,211231
50,HS-grad,Private,25,2.5,259715
24,10th,Private,19,1.9,248600
40,HS-grad,Private,39,3.9,153997
40,HS-grad,Private,44,4.4,67779
42,HS-grad,Private,32,3.2,236861
40,HS-grad,Private,57,5.7,367334
40,9th,Private,64,6.4,213391
45,Masters,Local-gov,46,4.6,301124
40,Bachelors,Private,37,3.7,184117
40,Assoc-voc,Private,22,2.2,233923
40,10th,Private,30,3,348592
40,Bachelors,Local-gov,33,3.3,111817
40,HS-grad,Private,32,3.2,170983
35,HS-grad,Self-emp-not-inc,23,2.3,121407
40,HS-grad,Local-gov,40,4,210275
40,HS-grad,Private,21,2.1,116358
40,Masters,Private,48,4.8,189123
40,Bachelors,Private,41,4.1,48087
40,10th,Private,37,3.7,179488
45,Masters,Local-gov,30,3,370990
50,Bachelors,Private,49,4.9,169760
40,Some-college,State-gov,38,3.8,34493
40,Bachelors,Private,61,6.1,185584
32,5th-6th,Private,44,4.4,324311
40,Bachelors,Self-emp-not-inc,62,6.2,96299
40,HS-grad,Private,47,4.7,147322
50,Assoc-voc,Private,35,3.5,135289
40,Bachelors,State-gov,44,4.4,128586
40,Bachelors,State-gov,30,3,185590
45,HS-grad,Self-emp-not-inc,28,2.8,107458
50,HS-grad,Private,57,5.7,151874
40,Bachelors,State-gov,26,2.6,413846
48,Assoc-voc,Private,38,3.8,203836
40,Some-college,Self-emp-not-inc,44,4.4,110028
40,7th-8th,Private,35,3.5,57640
58,Masters,State-gov,40,4,67874
25,Some-college,Self-emp-not-inc,50,5,169112
60,HS-grad,Self-emp-inc,37,3.7,154410
12,Bachelors,Private,26,2.6,63234
40,Some-college,Private,64,6.4,121036
40,Preschool,Private,30,3,408328
40,HS-grad,Private,29,2.9,269254
50,HS-grad,Private,28,2.8,115438
25,Some-college,Private,28,2.8,332249
40,Bachelors,State-gov,33,3.3,160261
30,HS-grad,Private,24,2.4,167316
40,HS-grad,State-gov,26,2.6,291586
20,Bachelors,Self-emp-not-inc,77,7.7,184046
9,Some-college,Federal-gov,25,2.5,178025
40,12th,Private,53,5.3,104280
44,11th,Private,38,3.8,302604
47,Masters,Private,30,3,225243
40,HS-grad,Self-emp-not-inc,39,3.9,327120
50,Doctorate,Self-emp-not-inc,51,5.1,43878
15,Bachelors,?,25,2.5,40915
85,Bachelors,Self-emp-inc,49,4.9,83444
40,Some-college,Private,51,5.1,351416
48,HS-grad,Self-emp-not-inc,47,4.7,117310
40,9th,Private,36,3.6,324231
30,1st-4th,Private,62,6.2,161802
45,Masters,Self-emp-not-inc,40,4,184804
40,Some-college,Federal-gov,30,3,547931
40,Bachelors,Private,39,3.9,46395
50,Masters,Local-gov,47,4.7,182313
40,HS-grad,Local-gov,28,2.8,169069
40,Bachelors,Private,23,2.3,203182
40,Bachelors,Private,57,5.7,142924
40,5th-6th,Private,33,3.3,180656
24,HS-grad,Private,58,5.8,187485
6,Some-college,?,84,8.4,157778
55,Some-college,Self-emp-not-inc,46,4.6,149337
55,HS-grad,Private,23,2.3,97054
32,Bachelors,Private,32,3.2,377017
40,Bachelors,Private,43,4.3,106900
45,10th,Private,34,3.4,378723
40,Some-college,Private,23,2.3,209955
40,Bachelors,Private,38,3.8,312766
40,HS-grad,Private,59,5.9,70857
40,11th,Private,22,2.2,238917
46,Masters,State-gov,50,5,53497
40,Bachelors,Private,44,4.4,283174
40,7th-8th,?,60,6,190497
40,Some-college,State-gov,56,5.6,104447
40,HS-grad,Private,36,3.6,73023
40,HS-grad,Private,20,2,177896
55,HS-grad,Self-emp-not-inc,38,3.8,349951
50,HS-grad,Private,29,2.9,80179
20,Assoc-acdm,State-gov,32,3.2,308955
35,Some-college,Private,36,3.6,126896
18,Assoc-acdm,State-gov,19,1.9,116385
40,HS-grad,State-gov,37,3.7,172425
15,Bachelors,Private,22,2.2,106615
45,Bachelors,Private,42,4.2,261929
20,Some-college,Private,22,2.2,163870
45,Bachelors,Self-emp-inc,35,3.5,242080
25,Some-college,Private,21,2.1,30796
42,Doctorate,Self-emp-not-inc,43,4.3,207578
40,HS-grad,?,22,2.2,140001
24,11th,Private,18,1.8,217942
40,11th,Private,28,2.8,301010
24,Some-college,?,20,2,222007
45,Doctorate,Private,32,3.2,72630
60,11th,Local-gov,49,4.9,204377
